Predict,Actual
68.09496717401451,69.7
69.57836171489805,69.85
70.47555333581417,71.13
70.97859840897918,70.71
70.83926171828269,70.68
70.45900100467757,69.92
70.06337201633477,70.18
69.58200165411118,69.9
69.55950446339155,69.34
69.6155383161435,69.85
69.64059692729991,69.4
68.2630305089014,67.47
67.05464733396656,66.06
67.2736920452006,68.2
67.70000419817855,67.0
66.64071203283822,66.4
66.6845974598023,66.9
66.6845974598023,66.9
65.56336749344867,64.43
65.05488843341199,65.42
64.33432437322489,65.45
65.76980592520079,65.68
64.47358649057732,63.65
64.97838597990874,65.19
66.17449184233438,66.64
66.05307974577165,66.08
66.79289184075068,67.2
67.21484691064079,67.21
67.76238296729719,68.17
68.35166311579663,68.44
69.22324819712769,69.55
68.60423433449702,67.97
67.73613275009133,67.55
67.86358080347368,68.07
66.65633782809809,66.64
66.00595304393164,65.8
66.18877973300455,66.37
66.1910194444229,66.28
66.1551765895542,65.74
65.70302574916278,66.24
66.11208759973366,65.91
65.57210961953245,66.34
66.20206226505319,67.0
67.32039273554548,67.39
67.0079952897167,67.37
67.54721681482265,68.13
68.27441663697633,68.86
69.11670964474747,69.45
69.55437267457695,69.21
61.8367301183046,62.5
62.18502383564201,61.94
62.434093770676924,63.59
63.78817623432221,64.32
65.00646946572658,65.55
65.23596192824752,64.84
64.36714968221511,64.53
64.47087166031118,64.12
63.514415501325686,63.15
62.03529369215963,61.85
62.03529369215963,61.85
62.3745968069628,62.69
62.32590157723894,61.92
62.6429335247158,62.78
63.0562277922932,63.38
63.38582679102274,63.52
63.896920472735644,65.19
65.30377294144338,65.23
65.49302444860844,65.73
65.89286661508402,66.13
65.9470792289182,66.32
66.22395221497432,66.26
66.02911958485207,66.31
65.65686470772329,66.13
65.03613094624944,64.97
63.767063607998494,63.52
63.05092073894704,62.79
62.61462916632988,63.04
63.17628933279343,62.79
61.84559188232545,61.2
61.429793248769585,61.98
62.0238930263416,61.14
60.994164331699466,61.29
61.849352504509596,61.84
61.13292943162004,61.47
61.62196305305211,61.25
61.62196305305211,61.25
61.33811776670639,61.8
61.90856642160324,62.29
62.681561123270214,63.12
63.30645470248254,63.67
62.76072560795092,62.86
63.394728557881606,63.45
63.45538558645647,63.38
62.95081449310122,62.72
62.58332595113154,63.04
62.93363498750756,62.99
63.825443908119226,64.15
63.872708933711934,63.85
63.611208219658934,63.72
64.25342303536274,64.79
65.22932836156615,65.96
66.1102891676721,66.75
66.09406256862587,65.75
65.35072693153701,64.63
65.31009025924376,66.04
65.39399497517012,64.98
64.78352731260883,65.29
65.30675741879237,65.73
65.7829901645415,66.51
67.0220308875824,67.66
67.62948460919824,67.38
67.10177088248372,66.69
66.39507639396831,66.26
66.2208372606399,65.94
66.34904894699865,66.75
65.26207981610602,64.73
65.05163697949646,65.5
64.92669249555624,64.66
64.63637672719032,64.47
64.8089953179235,64.93
64.96498153024048,65.65
65.62550039250183,65.69
65.76864384722374,65.98
66.07675132942484,66.08
66.59051606233575,66.69
66.68773069820557,67.01
67.06122993655008,67.26
67.14892502071446,67.54
67.1296410759345,67.27
67.1296410759345,67.27
67.01946627942742,66.96
67.04621571454983,67.36
67.24575058389503,67.4
67.87285012037401,67.93
67.64072237085999,67.62
67.52334735866908,67.91
68.48743591351833,69.33
68.94660323040618,68.85
69.28375797768807,69.08
68.78484691533168,68.93
69.08920498445471,69.56
70.07776233707293,71.13
70.94655688172459,70.72
70.17197245944993,69.95
70.17616167257722,70.38
70.39518934589009,70.33
70.3718355603115,70.8
70.56862743798801,70.54
70.82953463500571,71.26
71.15924759475486,71.68
71.71838483081542,72.12
71.29562545960904,70.66
70.25868218752989,70.3
69.49024652738386,69.5
69.0778358756462,69.41
68.23175955781234,66.67
65.86934987780977,64.89
65.99216817185301,66.24
65.77393393417142,65.63
66.52596404197226,67.46
66.84504653376233,67.2
66.34760041534014,65.75
65.27674169182664,64.47
64.22076100444023,64.28
62.26441690579588,62.73
62.40479575457509,61.13
61.733001884678345,62.61
61.928029233547164,62.73
62.80705516152811,62.08
62.491592880380765,63.64
64.73673467133042,64.79
64.89372126481216,65.22
65.84740953567352,65.93
65.75098059084074,65.91
65.92578892430694,65.98
66.9723229765697,68.26
67.7668340944281,67.79
67.19491554621861,67.27
65.43480948468512,64.5
64.56778612457636,64.34
64.04368898677086,63.47
63.48857676147446,64.72
64.69862682322447,64.99
63.81453803781186,62.61
66.28609469378604,67.52
67.6925723283445,67.72
67.6925723283445,67.72
67.50825360540642,68.21
68.72912324460292,69.25
68.89924450353699,69.36
70.12889007787658,71.48
71.4101599298235,71.57
71.73657957753895,72.35
73.58571058892444,74.67
73.86866718577636,72.91
73.86866718577636,72.91
70.80572536803233,71.91
70.94436759480523,70.25
69.70563829858568,70.59
71.44595402669395,71.05
72.1018306732341,71.75
71.72632620128944,71.14
69.87952144557657,69.36
68.53937963104532,67.85
68.14515232062294,67.99
67.52612717224986,66.83
65.59271521674575,65.19
64.68536896771604,63.29
62.84725846329302,62.67
62.84725846329302,62.67
63.74908980525912,65.54
64.95364977068749,66.48
66.45497739343143,65.96
66.65222768997671,67.46
66.65222768997671,67.46
65.97356792380802,65.69
64.14404073659568,63.27
64.63845911143515,65.46
66.1380526929145,66.85
67.38165669207706,67.83
68.51920840311656,69.25
69.10536536323227,69.9
69.45621859533543,70.38
69.76691384756987,69.75
69.9873274906571,70.6
70.49666640862405,70.03
70.17989089540863,70.82
71.36385205299572,71.93
70.95414330824843,71.32
70.95414330824843,71.32
71.68304480326798,71.65
71.56648506053064,72.18
72.88266186482086,73.65
72.66994436381826,73.27
73.49192604568445,73.56
74.15890777418208,75.44
75.21123603830821,76.05
75.95400306583342,76.04
75.69618703048351,76.03
75.88378504586863,76.31
76.11048711297052,76.3
75.38546914056184,75.33
75.06837489685499,75.8
75.89448392408103,76.08
76.63976029327556,77.07
77.00938291760485,77.25
76.74807892789656,77.02
77.62664049738083,78.3
77.67976734797006,77.52
77.67976734797006,77.52
77.72255636246298,78.56
77.33964206651373,77.89
77.9301923708353,78.42
79.02270737680443,79.34
78.73999706082007,78.55
78.54251441498526,79.42
79.08264289194085,79.44
80.3244131421806,81.24
80.62580005317949,80.13
79.58869586274523,79.74
79.27938922821178,78.75
78.39513674400295,78.73
77.73452699948773,77.98
78.52631988883982,79.3
79.43133190770159,79.93
80.13573184701129,80.13
80.08896057068053,80.61
80.83848521987288,81.1
80.73866653821048,80.97
81.16580291564115,81.2
80.75375562928066,80.92
80.98519687270192,82.0
80.45106578269127,78.99
79.037089592402,79.52
80.33252270349466,80.65
79.81372733826795,79.0
79.09180388077853,79.7
80.06743281181876,80.38
81.04822711775853,81.56
81.27907483655855,81.14
81.45905559104132,81.94
81.17908336361957,80.83
81.19729796493988,81.47
81.07495789104478,81.69
81.31015830087809,81.42
81.541701817862,81.68
81.33522774419924,81.08
81.26452382682935,80.98
80.44324118761408,80.4
79.29868368239556,77.55
76.60985992427027,75.43
75.66793895119524,76.17
75.66793895119524,76.17
75.74405714452905,75.57
74.7661460108132,75.56
75.79814258654228,75.79
75.62601218443214,76.72
76.72840072403771,77.42
77.56971887123858,77.33
77.64976281288065,78.5
78.03108968497277,77.47
77.48827810488399,78.2
78.75285223780367,79.29
77.93614586834232,79.35
77.53268749826128,76.67
76.53845570780135,76.61
75.7040451117995,77.0
75.6868618376381,77.1
74.67251036612275,73.84
75.0092317543375,76.01
67.42364951447074,67.64
68.07042082133458,69.3
68.6889891397279,69.11
68.94486582338114,68.93
69.16633581805854,68.32
67.89648675323384,67.97
66.79849278475008,67.7
68.58189598129083,68.36
67.89911148613766,67.08
67.89911148613766,67.08
66.937837543794,67.3
67.24397511554503,66.89
66.52328956295493,67.05
67.21222705327808,66.99
67.14439592483677,67.95
68.35742349352206,68.35
68.80001365698817,69.16
69.62962385751517,69.52
69.75662992630997,70.29
71.34325276516196,70.09
69.61154312524157,70.29
70.23148370453883,70.3
70.0234589604764,69.97
70.12818542219198,70.29
71.07745760726912,71.91
72.04426034119588,72.65
72.82002566041864,73.32
72.8805119567269,73.34
72.9256182838633,73.14
72.92211964838857,72.51
72.4712134133904,72.14
72.5441697546826,73.19
73.53092843379292,74.67
75.25918951027857,75.78
75.57414138513342,75.61
76.03105435469813,76.8
76.03105435469813,76.8
75.83861659695329,75.75
74.77576305366048,73.84
73.39957261135622,73.45
73.38827246086665,73.37
72.65621320450845,71.74
71.31323730475329,71.65
70.26710996778783,70.55
69.72045448209387,69.95
69.98777598642776,69.59
69.94283253150897,70.13
69.70035030234713,68.7
68.78968950083791,69.09
69.42314399588894,69.89
68.97625976317535,69.58
69.6372606398465,69.85
69.71869686698184,69.5
69.66396989496836,70.37
69.01349483671025,70.15
69.71068231154446,69.41
69.41157191600021,69.21
68.40402653287946,68.08
66.38195240775167,65.86
66.61176505162618,67.66
67.1152637039442,67.97
68.57395874092035,69.49
68.40611075495225,68.64
67.52909454588666,66.63
67.29170568249013,67.64
66.13930953810335,65.59
71.0060569375003,69.59
69.84875582846841,71.08
71.74682322827667,71.75
71.4548313780207,71.12
71.66817318303443,72.2
71.98357012639458,71.74
70.5695465575422,69.55
69.68822335956162,69.64
69.67411731752695,69.48
69.3344178863488,69.94
70.72993089230428,70.7
71.42524401681291,71.11
70.23078510499276,70.41
70.23078510499276,70.41
70.54513899703679,70.86
72.2133170103706,73.52
73.74151484158355,74.28
74.00443830479053,74.18
73.79217645992277,74.77
75.57648254076476,76.99
77.05007377390034,77.57
77.3965673037086,77.9
76.83307896807788,77.15
76.50607398125466,76.4
76.39271247555683,77.57
77.50455963753092,78.07
78.02870548195084,77.97
77.53465217640854,78.06
77.10487620701223,75.97
75.73445254344321,76.33
76.33661317102793,76.52
76.54604820164074,76.39
76.45010495342957,76.63
75.75681446382272,74.84
73.71375440806833,73.35
73.07007958034195,73.87
74.58657444351958,75.88
75.06292020270577,75.1
72.96251323953963,72.49
73.03947759475865,73.47
73.64317910296461,74.0
75.51857946991977,75.3
75.19011445071172,75.18
75.8090345374707,75.75
75.19919736260339,75.27
75.43553927182319,74.92
74.04288689411376,74.57
74.87227582200819,75.48
75.37623135127417,74.69
75.04148531561823,74.98
74.688122631623,75.0
74.81158826723268,75.39
75.84808615627742,76.15
75.44908176601781,76.17
75.63589376114547,76.12
75.56205653493726,75.75
76.58334319533009,76.97
77.22884411610504,76.74
76.16519625525825,75.55
75.34833131089272,75.79
75.96057055338679,75.91
75.92005605949524,76.64
76.26249670679384,76.85
76.93461251512119,77.05
76.80776189171017,77.16
76.86470053926399,76.76
77.13316910028101,78.26
77.85017821427606,77.94
78.33871259895668,79.29
78.67149771920752,78.52
78.1603886175574,78.3
78.48481230906697,79.12
79.5376168221775,80.26
78.95160955578166,80.95
80.82372852644167,81.08
80.82372852644167,81.08
80.69650234877082,80.77
80.36963378176372,80.35
79.39638811680113,80.1
80.30514508020708,80.93
80.84176338331582,81.53
81.93135323959018,82.21
81.87409571667385,81.62
82.89342794951992,82.93
82.77033753519318,83.42
83.67978563409294,84.81
84.06372898357974,83.71
84.25397171496812,84.45
84.2044078754924,83.95
83.47841861451701,83.43
83.83791349739157,84.51
84.5948065919669,85.19
84.9688641054408,85.26
85.07471332594616,85.3
85.07471332594616,85.3
85.13606920760083,85.45
85.25366459291763,85.42
84.8913631238843,84.9
84.73529348391148,85.31
84.73529348391148,85.31
85.57150236988795,85.95
84.62604616535481,84.57
83.91231534292902,84.82
84.19158892957546,85.08
85.61902068596807,85.92
86.54879961565926,87.27
87.51191137691615,87.59
87.34892191081707,87.46
87.14889533318747,87.99
87.88098268741906,88.62
88.89348706905773,89.46
89.478095882931,90.12
89.50318512977526,89.61
89.50318512977526,89.61
89.88337184695101,90.13
89.1419973013724,89.07
88.51789673704795,88.26
86.39379044289201,86.56
86.5875260914278,87.18
87.45579972975628,87.24
84.20187032317543,84.38
83.26656700754688,82.56
82.7741652471037,82.15
82.98210468965202,83.52
84.5778819723244,84.93
84.85549548839327,84.82
83.83232913317978,83.17
83.34523989701114,84.43
84.95770899308343,85.09
85.36339577156416,85.43
84.91335002624868,85.47
85.30158154383992,85.82
85.12724162989284,84.79
85.12724162989284,84.79
84.34222444633208,85.35
84.11306602961615,84.34
83.91696434270288,85.07
81.30454967754592,80.5
79.43679313470037,77.95
78.82150467978818,78.11
77.66935132003898,77.43
75.21984337833885,77.07
78.75574420771173,81.97
81.81873115845228,80.32
82.13185926230653,84.35
81.42204130783733,80.46
77.54667627457292,78.56
72.06580226754261,70.75
71.82525921556051,72.91
69.731074638825,68.84
64.2944464591234,63.42
66.45453155448836,69.2
63.58269973600521,64.13
66.754615899806,70.44
66.72620111089624,68.87
66.80665158702998,65.76
67.28921468277468,66.46
65.22668389577255,63.37
